Airfoil,Camber,Camber_Location,Thickness,Re,Mach,Alpha,cl,cd,cm
0006,0,0,6,75000,0.45,9,0.706619,0.138734,-0.07677
0006,0,0,6,75000,0.45,10,0.712875,0.157288,-0.083745
0006,0,0,6,75000,0.45,11,0.721652,0.176417,-0.08975
0006,0,0,6,75000,0.45,12,0.73474,0.195542,-0.094651
0006,0,0,6,75000,0.45,13,0.748811,0.215241,-0.099153
0006,0,0,6,75000,0.45,14,0.764611,0.234981,-0.103146
0006,0,0,6,75000,0.45,15,0.779819,0.25615,-0.107518
0006,0,0,6,75000,0.45,16,0.798172,0.276631,-0.111189
0006,0,0,6,75000,0.45,17,0.812856,0.2992,-0.115682
0006,0,0,6,75000,0.45,18,0.831954,0.320757,-0.119414
0006,0,0,6,75000,0.45,19,0.846272,0.343893,-0.123768
0006,0,0,6,75000,0.45,20,0.863086,0.357923,0.130319
0006,0,0,6,75000,0.55,-20,-0.898994,0.333844,0.125504
0006,0,0,6,75000,0.55,-19,-0.881309,0.310283,0.120718
0006,0,0,6,75000,0.55,-18,-0.862916,0.287293,0.115957
0006,0,0,6,75000,0.55,-17,-0.844026,0.264908,0.111206
0006,0,0,6,75000,0.55,-16,-0.824867,0.243134,0.106423
0006,0,0,6,75000,0.55,-15,-0.805652,0.221967,0.101539
0006,0,0,6,75000,0.55,-14,-0.786687,0.201389,0.096444
0006,0,0,6,75000,0.55,-13,-0.768388,0.181307,0.090932
0006,0,0,6,75000,0.55,-12,-0.751104,0.161574,0.084656
0006,0,0,6,75000,0.55,-11,-0.735433,0.142036,0.077132
0006,0,0,6,75000,0.55,-10,-0.722334,0.122554,0.067644
0006,0,0,6,75000,0.55,-9,-0.71263,0.101554,0.053031
0006,0,0,6,75000,0.55,-8,-0.705449,0.07725,0.028515
0006,0,0,6,75000,0.55,-7,-0.698963,0.049476,-0.001545
0006,0,0,6,75000,0.55,-6,-0.671931,0.031181,-0.007973
0006,0,0,6,75000,0.55,-5,-0.600743,0.021892,-0.00533
0006,0,0,6,75000,0.55,-4,-0.49969,0.018128,-0.002775
0006,0,0,6,75000,0.55,-3,-0.38054,0.016503,-0.001392
0006,0,0,6,75000,0.55,-2,-0.254802,0.015697,-0.000622
0006,0,0,6,75000,0.55,-1,-0.127394,0.015448,-0.000113
0006,0,0,6,75000,0.55,0,0.000485,0.015699,0.000397
0006,0,0,6,75000,0.55,1,0.128365,0.016506,0.001165
0006,0,0,6,75000,0.55,2,0.255793,0.018135,0.002556
